Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade_normalizada,Cidade
A T T CENTRO OESTE LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
A YOSHII ENGENHARIA E CONSTRUCOES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
A. C. CAPELLO - ME,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ADAMA BRASIL S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AGROPECUÁRIA SANTA FRANCISCA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AGROPECUARIA SANTA MARIA DO CERNE LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ALLOS LABORATÓRIO DE ANTIGENOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ALLVET QUIMICA INDUSTRIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AMCOR FLEXIBLES DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AMCOR FLEXIBLES DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ANGELUS INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ARAMES TOP INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ARCELORMITTAL BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ATT ARMAZENAGEM TRANSP TRANSBORDO L TDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
B. PAVANI PLASTICOS - EIRELI EPP,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BARILONPLAST IND E COM DE EMBALAGENS PLASTICAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BATERMOL DISTRIBUIDORA PARANAENSE DE ACUMULADORES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BELAGRAOS INVESTIMENTOS E SERVICOS SS LT,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BERMOND INDUSTRIA DE VASSOURAS EIRELI,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BIOSERV PRODUTOS QUIMICOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BONO & CONSTANTINO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BRASIL TRANSPORTES INTERMODAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BRF S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
"BUSSADORI, GARCIA & CIA LTDA",ND,ND,ND,ND,Sub-região 17,londrina,Londrina
C A P - GESTAO DE RESIDUOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
